name;isoN;iso3;iso2;wikilink
Австралія;36;AUS;AU;https://uk.wikipedia.org/wiki/%D0%90%D0%B2%D1%81%D1%82%D1%80%D0%B0%D0%BB%D1%96%D1%8F
Австрія;40;AUT;AT;https://uk.wikipedia.org/wiki/%D0%90%D0%B2%D1%81%D1%82%D1%80%D1%96%D1%8F
Азербайджан;31;AZE;AZ;https://uk.wikipedia.org/wiki/%D0%90%D0%B7%D0%B5%D1%80%D0%B1%D0%B0%D0%B9%D0%B4%D0%B6%D0%B0%D0%BD
Аландські острови;248;ALA;AX;https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D0%B0%D0%BD%D0%B4%D1%81%D1%8C%D0%BA%D1%96_%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8
Албанія;8;ALB;AL;https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D1%96%D1%8F
Алжир;12;DZA;DZ;https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D0%B6%D0%B8%D1%80
Американське Самоа;16;ASM;AS;https://uk.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B5_%D0%A1%D0%B0%D0%BC%D0%BE%D0%B0
Американські Віргінські Острови;850;VIR;VI;https://uk.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D1%96_%D0%92%D1%96%D1%80%D0%B3%D1%96%D0%BD%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8
Ангілья;660;AIA;AI;https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B3%D1%96%D0%BB%D1%8C%D1%8F
Ангола;24;AGO;AO;https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B3%D0%BE%D0%BB%D0%B0
Андорра;20;AND;AD;https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%BE%D1%80%D1%80%D0%B0
Антарктида;10;ATA;AQ;https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%B0%D1%80%D0%BA%D1%82%D0%B8%D0%B4%D0%B0
Антигуа і Барбуда;28;ATG;AG;https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%B8%D0%B3%D1%83%D0%B0_%D1%96_%D0%91%D0%B0%D1%80%D0%B1%D1%83%D0%B4%D0%B0
Аргентина;32;ARG;AR;https://uk.wikipedia.org/wiki/%D0%90%D1%80%D0%B3%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%B0
Аруба;533;ABW;AW;https://uk.wikipedia.org/wiki/%D0%90%D1%80%D1%83%D0%B1%D0%B0
Афганістан;4;AFG;AF;https://uk.wikipedia.org/wiki/%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D1%96%D1%81%D1%82%D0%B0%D0%BD
