name;iso2;iso3;isoN
Республика Абхазия;AB;ABH;895
Австрийская Республика;AT;AUT;40
Республика Азербайджан;AZ;AZE;31
Республика Албания;AL;ALB;8
Алжирская Народная Демократическая Республика;DZ;DZA;12
Республика Ангола;AO;AGO;24
Княжество Андорра;AD;AND;20
Аргентинская Республика;AR;ARG;32
Республика Армения;AM;ARM;51
Переходное Исламское Государство Афганистан;AF;AFG;4
Содружество Багамы;BS;BHS;44
Народная Республика Бангладеш;BD;BGD;50
Королевство Бахрейн;BH;BHR;48
Республика Беларусь;BY;BLR;112
Королевство Бельгия;BE;BEL;56
Республика Бенин;BJ;BEN;204
Республика Болгария;BG;BGR;100
Многонациональное Государство Боливия;BO;BOL;68
Республика Ботсвана;BW;BWA;72
Федеративная Республика Бразилия;BR;BRA;76
Республика Бурунди;BI;BDI;108
Королевство Бутан;BT;BTN;64
Республика Вануату;VU;VUT;548
Боливарианская Республика Венесуэла;VE;VEN;862
Британские Виргинские острова;VG;VGB;92
Виргинские острова Соединённых Штатов;VI;VIR;850
Социалистическая Республика Вьетнам;VN;VNM;704
Габонская Республика;GA;GAB;266
Республика Гаити;HT;HTI;332
Республика Гайана;GY;GUY;328
Исламская Республика Гамбия;GM;GMB;270
Республика Гана;GH;GHA;288
Республика Гватемала;GT;GTM;320
Гвинейская Республика;GN;GIN;324
Республика Гвинея-Бисау;GW;GNB;624
Федеративная Республика Германия;DE;DEU;276
Республика Гондурас;HN;HND;340
Специальный административный регион Китая Гонконг;HK;HKG;344
Греческая Республика;GR;GRC;300
Королевство Дания;DK;DNK;208
Республика Джибути;DJ;DJI;262
Донецкая Народная Республика;DN;DNR;897
Содружество Доминики;DM;DMA;212
Арабская Республика Египет;EG;EGY;818
Республика Замбия;ZM;ZMB;894
Республика Зимбабве;ZW;ZWE;716
Государство Израиль;IL;ISR;376
Республика Индия;IN;IND;356
Республика Индонезия;ID;IDN;360
Иорданское Хашимитское Королевство;JO;JOR;400
Республика Ирак;IQ;IRQ;368
Исламская Республика Иран;IR;IRN;364
Республика Исландия;IS;ISL;352
Королевство Испания;ES;ESP;724
Итальянская Республика;IT;ITA;380
Йеменская Республика;YE;YEM;887
Республика Кабо-Верде;CV;CPV;132
Республика Казахстан;KZ;KAZ;398
Королевство Камбоджа;KH;KHM;116
Республика Камерун;CM;CMR;120
Государство Катар;QA;QAT;634
Республика Кения;KE;KEN;404
Республика Кипр;CY;CYP;196
Киргизская Республика;KG;KGZ;417
Республика Кирибати;KI;KIR;296
Китайская Народная Республика;CN;CHN;156
Республика Колумбия;CO;COL;170
Союз Коморы;KM;COM;174
Республика Конго;CG;COG;178
Корейская Народно-Демократическая Республика;KP;PRK;408
Республика Корея;KR;KOR;410
Республика Коста-Рика;CR;CRI;188
Республика Кот д’Ивуар;CI;CIV;384
Республика Куба;CU;CUB;192
Государство Кувейт;KW;KWT;414
Латвийская Республика;LV;LVA;428
Королевство Лесото;LS;LSO;426
Республика Либерия;LR;LBR;430
Ливанская Республика;LB;LBN;422
Ливия;LY;LBY;434
Литовская Республика;LT;LTU;440
Княжество Лихтенштейн;LI;LIE;438
Луганская Народная Республика;LN;LNR;898
Великое Герцогство Люксембург;LU;LUX;442
Республика Маврикий;MU;MUS;480
Исламская Республика Мавритания;MR;MRT;478
Республика Мадагаскар;MG;MDG;450
Специальный административный регион Китая Макао;MO;MAC;446
Республика Малави;MW;MWI;454
Республика Мали;ML;MLI;466
Мальдивская Республика;MV;MDV;462
Республика Мальта;MT;MLT;470
Королевство Марокко;MA;MAR;504
Республика Маршалловы Острова;MH;MHL;584
Мексиканские Соединённые Штаты;MX;MEX;484
Федеративные Штаты Микронезии;FM;FSM;583
Республика Мозамбик;MZ;MOZ;508
Республика Молдова;MD;MDA;498
Княжество Монако;MC;MCO;492
Республика Союза Мьянма;MM;MMR;104
Республика Намибия;NA;NAM;516
Республика Науру;NR;NRU;520
Федеративная Демократическая Республика Непал;NP;NPL;524
Республика Нигер;NE;NER;562
Федеративная Республика Нигерия;NG;NGA;566
Королевство Нидерландов;NL;NLD;528
Республика Никарагуа;NI;NIC;558
Ниуэ;NU;NIU;570
Королевство Норвегия;NO;NOR;578
Султанат Оман;OM;OMN;512
Исламская Республика Пакистан;PK;PAK;586
Республика Палау;PW;PLW;585
Государство Палестина;PS;PSE;275
Республика Панама;PA;PAN;591
Республика Парагвай;PY;PRY;600
Республика Перу;PE;PER;604
Республика Польша;PL;POL;616
Португальская Республика;PT;PRT;620
Российская Федерация;RU;RUS;643
Руандийская Республика;RW;RWA;646
Независимое Государство Самоа;WS;WSM;882
Республика Сан-Марино;SM;SMR;674
Демократическая Республика Сан-Томе и Принсипи;ST;STP;678
Королевство Саудовская Аравия;SA;SAU;682
Республика Северная Македония;MK;MKD;807
Содружество Северных Марианских островов;MP;MNP;580
Республика Сейшелы;SC;SYC;690
Республика Сенегал;SN;SEN;686
Республика Сербия;RS;SRB;688
Республика Сингапур;SG;SGP;702
Словацкая Республика;SK;SVK;703
Республика Словения;SI;SVN;705
Соединённое Королевство Великобритании и Северной Ирландии;GB;GBR;826
Соединённые Штаты Америки;US;USA;840
Федеративная Республика Сомали;SO;SOM;706
Республика Судан;SD;SDN;729
Республика Суринам;SR;SUR;740
Республика Сьерра-Леоне;SL;SLE;694
Республика Таджикистан;TJ;TJK;762
Королевство Таиланд;TH;THA;764
Объединённая Республика Танзания;TZ;TZA;834
Демократическая Республика Тимор-Лесте;TL;TLS;626
Тоголезская Республика;TG;TGO;768
Королевство Тонга;TO;TON;776
Республика Тринидад и Тобаго;TT;TTO;780
Тунисская Республика;TN;TUN;788
Туркменистан;TM;TKM;795
Турецкая Республика;TR;TUR;792
Республика Уганда;UG;UGA;800
Республика Узбекистан;UZ;UZB;860
Восточная Республика Уругвай;UY;URY;858
Республика Фиджи;FJ;FJI;242
Республика Филиппины;PH;PHL;608
Финляндская Республика;FI;FIN;246
Французская Республика;FR;FRA;250
Республика Хорватия;HR;HRV;191
Республика Чад;TD;TCD;148
Чешская Республика;CZ;CZE;203
Республика Чили;CL;CHL;152
Швейцарская Конфедерация;CH;CHE;756
Королевство Швеция;SE;SWE;752
Демократическая Социалистическая Республика Шри-Ланка;LK;LKA;144
Республика Эквадор;EC;ECU;218
Республика Экваториальная Гвинея;GQ;GNQ;226
Республика Эль-Сальвадор;SV;SLV;222
Королевство Эсватини;SZ;SWZ;748
Эстонская Республика;EE;EST;233
Федеративная Демократическая Республика Эфиопия;ET;ETH;231
Южно-Африканская Республика;ZA;ZAF;710
Республика Южная Осетия;OS;OST;896
Республика Южный Судан;SS;SSD;728
